text,label
"Owing to identical reasoning, repairing entirely novel programs presents difficulty, as language models demonstrate failure in generalizing to previously unencountered problem domains.",1
We propose to embed the specification and the incorrect behavior to be repaired as a first-class concept in a loss function.,0
Our proposal involves embedding both the specification and incorrect behavior requiring repair as first-class conceptual entities within a loss function framework.,1
"We describe Gradient-Based Program Repair (GBPR), a novel paradigm that is founded on expressing programs as numerical representations.",0
"Our description encompasses Gradient-Based Program Repair (GBPR), a novel paradigmatic framework founded upon program expression through numerical representational forms.",1
"With this numerical program representation associated with a loss that captures the expected behavior, GBPR repairs the bug by searching in the numerical program space.",0
"Through this numerical program representation coupled with a loss function capturing anticipated behavior, GBPR executes bug repair via search operations within numerical program spaces.",1
This core originality of GBPR is that it considers program behavior as a first-class concept in the learning pipeline.,0
The fundamental originality characterizing GBPR resides in its treatment of program behavior as a first-class conceptual element within the learning pipeline architecture.,1
"To rigorously evaluate our approach, we introduce RaspBugs, a new benchmark of buggy symbolic programs and their corresponding numerical representation.",0
"For rigorous evaluation of our methodological approach, we introduce RaspBugs, a novel benchmark comprising defective symbolic programs alongside their corresponding numerical representations.",1
"Those programs are written in RASP, a class of sequence-processing programs that can be analytically represented as Transformer models.",0
"These programs receive authorship in RASP, constituting a class of sequence-processing programs amenable to analytical representation as Transformer model architectures.",1
"By systematically applying mutations to base RASP programs, we create a diverse collection of meaningful bugs.",0
"Through systematic application of mutation operations to foundational RASP programs, we generate a diverse collection of semantically meaningful defects.",1
"RaspBugs contains 1,466 bugs over 6 programs, and provides the first-ever controlled environment for researching program repair as continuous optimization.",0
"The RaspBugs benchmark encompasses 1,466 defects distributed across 6 programs, furnishing the inaugural controlled experimental environment for investigating program repair as continuous optimization.",1
Our results demonstrate that gradient-based program repair is feasible.,0
Our empirical results substantiate the feasibility of gradient-based program repair methodologies.,1
"We observe proper convergence of the optimization problem, with the correctness of the considered programs improving.",0
"Our observations indicate appropriate convergence characteristics of the optimization problem, accompanied by improvements in the correctness of examined programs.",1
We are able to repair the majority of buggy programs for 5 out of the 6 considered base programs.,0
Our methodology achieves repair of the preponderance of defective programs across 5 among the 6 foundational programs under consideration.,1
The analysis of the repair trajectories and the correctness landscape confirms that incorrect behavior on buggy input points is gradually fixed.,0
Analytical examination of repair trajectories and the correctness landscape substantiates that erroneous behavior manifesting on defective input points undergoes gradual remediation.,1
"Program repair automatically finds a correct program from a buggy one, changing incorrect behavior to correct behavior according to a specification.",0
"Program repair automatically identifies a correct program from a defective counterpart, transforming erroneous behavioral manifestations to correct behaviors in accordance with specification requirements.",1
"Most program repair research considers repairing imperative programs, in particular Python or Java.",0
"The predominant focus of program repair research concentrates on imperative program remediation, with particular emphasis on Python and Java programming languages.",1
"In the context of traditional program repair, programs are symbolic artifacts, represented using discrete structures.",0
"Within traditional program repair contexts, programs constitute symbolic artifacts receiving representation through discrete structural forms.",1
Program repair on symbolic programs relies on symbolic methods operating directly on these structures.,0
Program repair operations on symbolic programs depend upon symbolic methodologies that operate directly upon these structural representations.,1
Large Language Models (LLMs) are used for program repair by considering code as a sequence of textual tokens.,0
Large Language Models find application in program repair through the conceptualization of code as sequential textual token arrangements.,1
"A numerical program is a program whose behavior is encoded as continuous, real-valued parameters and can be executed.",0
"Numerical programs constitute programs wherein behavioral characteristics receive encoding as continuous, real-valued parameters while maintaining executability.",1
These can be either neural networks or vectors in latent spaces with execution semantics.,0
These manifestations may take forms of either neural network architectures or vectors positioned within latent spaces possessing execution semantics.,1
"Unlike traditional symbolic programs, which are constrained by discrete structures, the behavior of numerical programs can be adjusted smoothly via optimization techniques.",0
"In contrast to traditional symbolic programs constrained by discrete structural forms, numerical program behavior admits smooth adjustment through optimization technique applications.",1
RASP is a domain-specific programming language for sequence processing.,0
RASP constitutes a domain-specific programming language specifically engineered for sequence processing operations.,1
Its key characteristic is that the language primitives align with the transformer-encoder model.,0
The distinguishing characteristic resides in the alignment of language primitives with transformer-encoder model architectures.,1
"RASP programs operate on token and position streams using selectors, per-position aggregation, and elementwise maps.",0
"RASP programs execute operations on token and position streams through utilization of selectors, per-position aggregation mechanisms, and elementwise mapping functions.",1
We adopt the bounded setting of RASP which assumes fixed vocabulary and a maximum sequence length.,0
"Our adoption embraces the bounded RASP configuration, which presumes fixed vocabulary constraints and maximum sequence length limitations.",1
"Tracr is an analytical, deterministic compiler from RASP to encoder-style transformer models.",0
"Tracr constitutes an analytical, deterministic compilation framework translating RASP specifications into encoder-style transformer model architectures.",1
It programmatically constructs attention from RASP selectors and implements aggregation and maps via attention and MLP steps respectively.,0
This framework programmatically synthesizes attention mechanisms from RASP selector constructs while implementing aggregation and mapping operations through attention and MLP step sequences respectively.,1
"For a fixed vocabulary and sequence length, the compiled model is strictly equivalent to the RASP program.",0
"Given fixed vocabulary and sequence length parameters, the compiled model maintains strict equivalence with the originating RASP program specification.",1
All previous research has done program repair as a search in a symbolic space.,0
Antecedent research endeavors have uniformly approached program repair through search operations within symbolic space domains.,1
Our core insight is that one can do program repair by searching programs in a numerical space instead.,0
Our fundamental insight recognizes the possibility of executing program repair through search operations within numerical space domains as an alternative approach.,1
"In that numerical space, the program semantics are encoded into a numerical representation.",0
"Within this numerical space domain, program semantic characteristics receive encoding into numerical representational forms.",1
Gradient-Based Program Repair leverages gradient descent to search the numerical program space.,0
Gradient-Based Program Repair harnesses gradient descent mechanisms for conducting search operations within numerical program space domains.,1
The program zeroing the loss is considered the repaired program.,0
The program achieving zero loss receives designation as the successfully repaired program.,1
The first step of numerical repair is to translate the initial symbolic program into a numerical representation.,0
The inaugural step within numerical repair processes involves translating the initial symbolic program into a numerical representational form.,1
We require a compiler function that transforms symbolic programs into numerical representations.,0
Our requirements encompass a compiler function capable of transforming symbolic program specifications into numerical representational formats.,1
This representation is parameterized by a set of numerical parameters that completely encode the semantics of the original program.,0
This representational form receives parameterization through a set of numerical parameters that comprehensively encode the semantic characteristics of the originating program.,1
The execution of the numerical representation must match the input-output behavior of the symbolic program on the supported domain.,0
Numerical representation execution must maintain congruence with the input-output behavioral characteristics of the symbolic program across the supported domain.,1
We require the numerical representation to be differentiable over the input space with respect to its parameters.,0
Our requirements stipulate that the numerical representation maintain differentiability across the input space relative to its parametric values.,1
"This means we need to compute the gradient of a loss function, in order to change the parameters to improve the correctness of the output.",0
"This necessitates computation of the loss function gradient, facilitating parameter modifications aimed at enhancing output correctness.",1
"If the gradient captures correctness, this means that gradient descent is actually optimizing the program towards more correct behavior.",0
"When the gradient captures correctness characteristics, gradient descent effectively optimizes the program trajectory toward enhanced behavioral correctness.",1
"In this paper, we focus on neural networks as our numerical representation.",0
"Within this paper, our focus concentrates on neural network architectures as our selected numerical representational framework.",1
"The neural network input, resp. output, is the program input, resp. output.",0
The neural network input and output correspond respectively to the program input and output specifications.,1
This is a natural choice as neural networks are inherently differentiable via backpropagation.,0
This constitutes a natural selection as neural network architectures inherently maintain differentiability through backpropagation mechanisms.,1
Their parameters form the continuous space we seek to optimize.,0
Their parametric values constitute the continuous space domain targeted for optimization operations.,1
Let us assume a buggy symbolic program implementing an incorrect function.,0
We postulate a defective symbolic program implementing an erroneous functional specification.,1
The ideal correct function is defined by a specification that describes the behavior of the ideal program.,0
The ideal correct function receives definition through a specification describing the behavioral characteristics of the ideal program.,1
"In this paper, we assume specifications in the form of input-output examples.",0
"Within this paper, our assumptions embrace specifications manifested as input-output example collections.",1
Technical knowledge and soft skills in software startups within the Colombian entrepreneurial ecosystem.,0
The technical competencies and interpersonal capabilities within software startup ventures operating within Colombia's entrepreneurial ecosystem framework.,1
The technical knowledge and soft skills of entrepreneurial team members significantly impact the early stages of software startups.,0
Entrepreneurial team member technical competencies and soft skills exert substantial influence upon the initial developmental phases of software startup organizations.,1
It is widely recognized that the success or failure of a startup is determined by the quality of the individuals who constitute the founding team.,0
Widespread recognition exists that startup success or failure receives determination through the caliber of individuals comprising the founding team structure.,1
This article presents the findings of a study conducted within the Colombian entrepreneurial ecosystem.,0
The present article furnishes findings derived from investigative research conducted within Colombia's entrepreneurial ecosystem context.,1
Focusing on which technical knowledge and soft skills are the most valued by founding teams of software startups.,0
Concentrating upon the identification of technical knowledge domains and soft skills receiving highest valuation from software startup founding teams.,1
And how the needs for knowledge and skills evolve as the startup grows.,0
Additionally examining the evolutionary patterns of knowledge and skill requirements as startup organizations undergo growth.,1
"A survey of software startup representatives revealed that the most valued knowledge includes requirements engineering, software testing, project planning and management.",0
"Representative surveys of software startup personnel disclosed that the most highly valued knowledge encompasses requirements engineering, software testing, and project planning and management competencies.",1
"The most valued soft skills are typically communication, leadership, and teamwork.",0
"The soft skills receiving highest valuation typically comprise communication capabilities, leadership qualities, and teamwork proficiencies.",1
"The outcomes of this work are relevant to software entrepreneurs, incubators, and researchers.",0
"The resultant outcomes of this investigative work maintain relevance for software entrepreneurs, incubator organizations, and research practitioners.",1
A software startup is a recently created company with little or no operational history.,0
Software startups constitute recently established companies possessing minimal or absent operational historical records.,1
Focused on creating and developing an innovative software-intensive product or service as a basis for creating business value.,0
Concentrating on the creation and development of innovative software-intensive products or services serving as foundational elements for business value generation.,1
Among the main challenges of software startups are their scarcity of resources.,0
"Within the principal challenges confronting software startups, resource scarcity represents a significant concern.",1
"Being highly reactive, being made up of small teams with little experience.",0
"Characterized by heightened reactivity, composed of diminutive teams possessing limited experiential backgrounds.",1
"Relying on a single product, and starting to operate under conditions of uncertainty.",0
"Demonstrating reliance upon singular product offerings, initiating operations under conditions pervaded by uncertainty.",1
These conditions require empirical studies aimed at identifying what software development knowledge and skills are necessary.,0
These circumstantial conditions necessitate empirical investigative studies targeting identification of requisite software development knowledge domains and skill sets.,1
Several studies have shown that the probability of success of a new venture increases if the venture includes professionals trained in various disciplines.,0
Multiple research investigations have substantiated that new venture success probability experiences augmentation when ventures incorporate professionals possessing training across diverse disciplinary domains.,1
Tanner believes that the success or failure of a business venture is related to the quality of the people who make up the initial team of founders.,0
Tanner maintains the perspective that business venture success or failure maintains relationship with the caliber of individuals constituting the initial founding team.,1
"The new company will flourish or fail depending on how well it recruits, builds, and retains the team.",0
"New company organizations will experience flourishment or failure contingent upon their effectiveness in team recruitment, development, and retention.",1
"As well as the knowledge, technical abilities, and skills that the members of that team have in relation to the needs and challenges of the venture.",0
"Additionally dependent upon the knowledge, technical capabilities, and skills team members possess relative to venture needs and challenges.",1
"SeppÃ¤nen and colleagues believe that it is crucial that a venture obtains the knowledge, abilities, and capabilities necessary to create a product based on innovation.",0
"SeppÃ¤nen alongside colleagues maintain the belief that ventures crucially require obtaining knowledge, abilities, and capabilities necessary for creating innovation-based products.",1
This article aims to report on a study focused on identifying the technical knowledge and soft skills most valued in the founding team.,0
The present article aspires to report investigative findings concentrated on identifying technical knowledge domains and soft skills receiving highest valuation within founding team structures.,1
"At the beginning of a software startup, and how these needs evolve as the venture progresses.",0
"During software startup inception, alongside examination of how these requirements undergo evolution as ventures progress through developmental stages.",1
The remainder of this paper is organized as follows: Section 2 presents a brief review of the general literature.,0
The subsequent portions of this paper receive organization as follows: Section 2 furnishes a concise literature review.,1
On the concepts of technical knowledge and soft skills.,0
Pertaining to technical knowledge conceptualizations and soft skill frameworks.,1
Section 3 describes this study's methodological design.,0
Section 3 delineates this investigation's methodological design framework.,1
Section 4 presents the main findings.,0
Section 4 presents the principal investigative findings.,1
Section 5 discusses the results.,0
Section 5 engages in comprehensive results discussion.,1
Section 6 analyzes the threats to the study's validity.,0
Section 6 conducts analytical examination of threats to investigative validity.,1
Section 7 outlines some considerations about the relevance of the findings.,0
Section 7 delineates considerations regarding finding relevance.,1
"Finally, Section 8 presents the conclusions.",0
"Ultimately, Section 8 furnishes conclusive statements.",1
This section outlines the key features of Colombia's entrepreneurial ecosystem.,0
This section delineates the characteristic features of Colombia's entrepreneurial ecosystem landscape.,1
And provides a brief review of the literature on technical knowledge and soft skills.,0
While furnishing concise literature review concerning technical knowledge and soft skill domains.,1
Including the specific types of technical knowledge and soft skills examined in this study.,0
Encompassing the specific technical knowledge categories and soft skill types receiving examination within this investigation.,1
Colombia's entrepreneurial ecosystem has experienced significant growth in recent years.,0
Colombia's entrepreneurial ecosystem has undergone substantial expansion throughout recent temporal periods.,1
Positioning itself as a vibrant hub for innovation in Latin America.,0
Establishing itself as a dynamic innovation center within the Latin American regional context.,1
This expansion is fueled by a confluence of several factors.,0
This expansionary trajectory receives propulsion from a convergence of multiple contributory factors.,1
"Including government initiatives, increasing access to capital, and a burgeoning tech-savvy population.",0
"Encompassing governmental initiatives, expanding capital accessibility, and an emergent technologically proficient populace.",1
"According to the Colombia Tech Report 2023, the 1,720 startups across the country are distributed among 30 sectors.",0
"In accordance with the Colombia Tech Report 2023, the 1,720 startups distributed across the nation maintain distribution among 30 distinct sectors.",1
51% of these startups are concentrated in the top six sectors.,0
51% of these startup organizations demonstrate concentration within the six highest-ranked sectors.,1
"Fintech represents 17%, Software as a Service 10%, Business Management 6%.",0
"Fintech constitutes 17%, Software as a Service represents 10%, Business Management accounts for 6%.",1
"EdTech, HealthTech, and ProTech, each with 6%, round out this top six.",0
"EdTech, HealthTech, and ProTech, each contributing 6%, complete this top-six categorical arrangement.",1
"Although entrepreneurial activity is widespread across the nation, the primary cities responsible for the most significant volume are three.",0
"Despite entrepreneurial activity demonstrating widespread distribution across the nation, three primary cities bear responsibility for the most substantial volumes.",1
"BogotÃ¡ accounts for 55%, MedellÃ­n for 25%, and Cali for 8%.",0
"BogotÃ¡ contributes 55%, MedellÃ­n accounts for 25%, Cali represents 8%.",1
"BogotÃ¡, the capital, serves as the country's economic and political center.",0
"BogotÃ¡, serving as the capital municipality, functions as the nation's economic and political epicenter.",1
Attracting a significant portion of venture capital and fostering a diverse range of startups.,0
Attracting substantial portions of venture capital investment while fostering diverse startup ranges.,1
"Its robust infrastructure, established universities, and concentration of large corporations create a fertile ground for innovation.",0
"Its robust infrastructural foundation, established university institutions, and large corporate concentrations generate fertile conditions for innovation.",1
"According to the Global Startup Ecosystem Index 2024, BogotÃ¡ boasts the highest-ranked startup ecosystem in Colombia.",0
"According to the Global Startup Ecosystem Index 2024, BogotÃ¡ maintains the highest-ranked startup ecosystem position within Colombia.",1
"Holds the second position in South America, and is ranked 63rd worldwide.",0
"Occupies the second positional rank in South America, achieving 63rd rank on worldwide scales.",1
"Sectors like fintech, e-commerce, and software development are particularly prominent.",0
"Sectors including fintech, e-commerce, and software development demonstrate particular prominence.",1
"MedellÃ­n, once known for its challenges, has undergone a remarkable transformation.",0
"MedellÃ­n, previously characterized by its challenges, has experienced remarkable transformational changes.",1
Emerging as a leading innovation hub.,0
Manifesting as a leading innovation hub center.,1
"The city's focus on technology and education, epitomized by initiatives like Ruta N, has significantly contributed to its entrepreneurial resurgence.",0
"The city's concentration on technology and education, exemplified through initiatives like Ruta N, has substantially contributed to its entrepreneurial revitalization.",1
"MedellÃ­n's strengths lie in digital media, biotechnology, and advanced manufacturing sectors.",0
"MedellÃ­n's strengths reside within digital media, biotechnology, and advanced manufacturing sectoral domains.",1
"Cali, the third-largest city, is establishing itself as a rising star in Colombia's entrepreneurial landscape.",0
"Cali, constituting the third-largest municipal entity, establishes itself as an ascending star within Colombia's entrepreneurial landscape.",1
"Traditionally known for its agricultural sector, Cali is diversifying its economy.",0
"Traditionally recognized for its agricultural sector, Cali undergoes economic diversification.",1
With a growing focus on technology and innovation.,0
Exhibiting expanding focus upon technology and innovation domains.,1
"Thanks to its reputable universities, the city possesses a strong talent pool.",0
"Attributable to its reputable university institutions, the city possesses substantial talent pool resources.",1
Particularly in engineering and computer science.,0
Particularly within engineering and computer science disciplinary areas.,1
Colombia's entrepreneurial ecosystem is characterized by a strong sense of community and collaboration.,0
Colombia's entrepreneurial ecosystem receives characterization through a robust sense of community and collaborative interaction.,1
"Events and conferences provide platforms for entrepreneurs to connect, learn, and pitch their ideas.",0
"Events and conference gatherings furnish platforms enabling entrepreneurs to establish connections, acquire knowledge, and present their conceptual ideas.",1
"While each city offers distinct advantages, they collectively contribute to the nation's burgeoning innovation landscape.",0
"While each municipal entity offers distinctive advantages, they collectively contribute to the nation's expanding innovation landscape.",1
"The government's continued support, coupled with the increasing availability of funding and talent, suggests that Colombia's entrepreneurial ecosystem will continue to flourish.",0
"The government's sustained support, combined with expanding funding availability and talent resources, suggests Colombia's entrepreneurial ecosystem will continue experiencing flourishment.",1
The concept of technical knowledge refers to the technical capacity and factual knowledge necessary to do the job.,0
The technical knowledge concept refers to the technical capacity and factual knowledge requisite for job performance.,1
"And are the technical competencies an individual possesses, acquired through educational learning and its practical application.",0
"Constituting technical competencies individuals possess, obtained through educational learning and practical application processes.",1
Which are generally associated with the knowledge necessary for the understanding and execution of tasks and processes.,0
Generally maintaining association with knowledge necessary for understanding and executing tasks and process operations.,1
"The so-called soft skills are defined as the combination of skills, attitudes, habits, and personality traits.",0
"The designated soft skills receive definition as combinations of skills, attitudes, habits, and personality trait characteristics.",1
That allow people to perform better in the workplace.,0
Enabling people to demonstrate enhanced workplace performance.,1
Complementing the technical knowledge necessary to do their job.,0
Complementing the technical knowledge requisite for job performance.,1
And influencing the way they behave and interact with others.,0
While influencing their behavioral patterns and interactive engagement with others.,1
"In this paper, a monad-based denotational model is introduced and shown adequate for the Proto-Quipper family of calculi, themselves being idealized versions of the Quipper programming language. The use of a monadic approach allows us to separate the value to which a term reduces from the circuit that the term itself produces as a side effect.",0
"This investigation presents a monadic denotational paradigm demonstrated as sufficient for the Proto-Quipper calculi family, representing idealized Quipper programming language iterations. Through monadic methodology employment, we achieve separation between term reduction values and concomitantly generated circuit side effects.",1
"In turn, this enables the denotational interpretation and validation of rich type systems in which the size of the produced circuit can be controlled.",0
"Consequently, this facilitates denotational semantic interpretation and validation of sophisticated type systems wherein produced circuit dimensions remain controllable.",1
"Notably, the proposed semantic framework, through the novel concept of circuit algebra, suggests forms of effect typing guaranteeing quantitative properties about the resulting circuit, even in presence of optimizations.",0
"Remarkably, the advanced semantic framework, via the innovative circuit algebra conceptualization, proposes effect typing modalities ensuring quantitative attributes regarding resultant circuits, notwithstanding optimization presence.",1
Quantum computing promises to revolutionize various sub-fields within computer science by solving complex problems exponentially faster than classical computing.,0
Quantum computational paradigms pledge revolutionary transformation across computer science sub-domains through exponentially accelerated resolution of intricate problems relative to classical computation.,1
"This technology leverages the concept of quantum bits (or qubits), a unit of information whose dynamics is governed by the rules of quantum mechanics, thus enabling superposition and entanglement, keys to the aforementioned speedup.",0
This technological framework exploits quantum bit conceptualizationâ€”information units whose dynamical behavior adheres to quantum mechanical principlesâ€”thereby enabling superposition and entanglement phenomena fundamental to aforementioned acceleration.,1
"To harness this potential, several programming languages have been developed specifically for quantum computing, such as Q#, Qiskit, and Cirq.",0
"Capitalizing upon this potential, numerous programming languages have been engineered specifically for quantum computational applications, encompassing Q#, Qiskit, and Cirq.",1
"In turn, fields like program verification have adapted well-known techniques like abstract interpretation, type systems, and Hoare logic to these languages.",0
"Subsequently, domains such as program verification have accommodated established methodologies including abstract interpretation, type theoretical frameworks, and Hoare logical systems to these linguistic paradigms.",1
We can identify at least two ways to design a quantum programming language.,0
At minimum two distinct approaches for quantum programming language architecture can be discerned.,1
"On the one hand, we could simply allow programs written in traditional programming languages to access not only classical data but also quantum data.",0
"Primarily, we could facilitate programs authored in conventional programming languages to access both classical and quantum data structures.",1
"The latter cannot be used the same way as the former, and is rather supported by specific initialization, modification, and reading operations.",0
"The latter cannot be manipulated identically to the former, instead requiring specialized initialization, modification, and reading operations.",1
"As an example, the reading of a qubit value, often called a measurement, can alter its value and has, in general, a probabilistic outcome, thus being substantially different from the corresponding classical operation.",0
"Exemplifying, qubit value readingâ€”termed measurementâ€”can modify its value while exhibiting probabilistic outcomes generally, thereby differing substantially from analogous classical operations.",1
"In programming languages of this kind, the quantum data are assumed to be stored in an external device accessible interactively through the aforementioned operations.",0
"Within such programming linguistic frameworks, quantum data are presumed stored within external devices accessible interactively via aforementioned operations.",1
"This model, often indicated with the acronym QRAM, is adopted by a multitude of proposals in the literature.",0
"This paradigm, frequently denoted by the QRAM acronym, has been adopted across numerous literary proposals.",1
"In theory, QRAM languages are the natural adaptation of classical programming languages to the quantum world.",0
"Theoretically, QRAM languages constitute natural adaptations of classical programming paradigms to quantum computational realms.",1
"In practice, however, quantum hardware architectures can hardly be programmed interactively: not only is the number of qubits available very small, but the time within which computation must be completed should itself be minimized, given that the useful lifespan of a qubit is short.",0
"Pragmatically, however, quantum hardware architectures scarcely accommodate interactive programming: available qubit quantities remain severely constrained, while computational completion temporal windows necessitate minimization given qubits' abbreviated functional lifespans.",1
"Consequently, quantum architectures typically take as input a whole quantum circuit, i.e. a precise description of all the necessary qubits and the operations to be performed on them.",0
"Consequently, quantum architectures typically accept comprehensive quantum circuits as inputâ€”specifically, exhaustive descriptions of requisite qubits and operations to be executed upon them.",1
"This circuit must therefore be available in its entirety, preferably already subjected to an aggressive optimization process.",0
"Such circuits must therefore exist in complete form, optimally having undergone intensive optimization procedures.",1
"In such a context, so-called circuit description languages (CDLs for short) are to be preferred, and most mainstream languages in the field, including Qiskit and Cirq, are of this nature.",0
"Within such contexts, circuit description languagesâ€”abbreviated CDLsâ€”merit preference, with predominant field languages including Qiskit and Cirq exhibiting this characteristic.",1
"CDLs are high-level languages used to describe and generate circuits, a quintessential example being the quantum circuit.",0
"CDLs constitute high-level linguistic frameworks employed for circuit description and generation, with quantum circuits representing quintessential exemplification.",1
"Circuits are typically seen like any other ordinary data structure, with specific operations on them available through, e.g., methods or subroutines.",0
"Circuits are conventionally regarded as ordinary data structures, with specialized operations accessible via methodologies or subroutine mechanisms.",1
Directly manipulating circuits from within a classical program offers the advantage of having more direct control over their shape and size.,0
Direct circuit manipulation within classical programs confers advantages of enhanced control over their dimensional and structural characteristics.,1
"This is crucial given the state of quantum hardware architectures today, which provide a limited number of error-prone qubits, and for which not all operations can be implemented at the same cost.",0
"This proves critical given contemporary quantum hardware architectural states, providing constrained error-susceptible qubit quantities, wherein operations exhibit variable implementation costs.",1
"A peculiar circuit description language is Quipper. In Quipper, circuits are not just like any other data structure. Rather, they are seen as the by-product of certain effect-producing computations that modify some underlying quantum circuit when executed.",0
"Quipper represents a distinctive circuit description language wherein circuits transcend ordinary data structures, instead constituting by-products of effect-generating computations modifying underlying quantum circuits upon execution.",1
"This, combined with the presence of higher-order functions and operations meant to turn any term (of an appropriate type) into a circuit, makes Quipper a very powerful and flexible idiom.",0
"This characteristic, coupled with higher-order function presence and term-to-circuit conversion operations for appropriately-typed terms, renders Quipper exceptionally potent and adaptable.",1
"Its metatheory has been the subject of quite some investigations by the programming language community in the last years, with contributions ranging from advanced type systems to fancy features like dynamic lifting to denotational semantics.",0
"Its metatheoretical foundations have undergone substantial investigation by the programming language community recently, with contributions spanning advanced type systems, sophisticated features like dynamic lifting, and denotational semantics.",1
"This last aspect of Quipper, in particular, has been studied by providing semantic models for some of the languages of the so-called Proto-Quipper family, which includes various calculi, such as Proto-Quipper-M, Proto-Quipper-D, Proto-Quipper-Dyn, etc.",0
"This terminal aspect of Quipper has been particularly examined through semantic model provision for certain Proto-Quipper family languages, encompassing diverse calculi including Proto-Quipper-M, Proto-Quipper-D, Proto-Quipper-Dyn, and analogous variants.",1
"In these cases, such semantics are built around concepts such as that of a presheaf and turn out to take the shape of a LNL model.",0
"Within these instances, such semantic constructions center upon presheaf conceptualizations, ultimately manifesting as LNL model configurations.",1
A by-product of the use of presheaves is that the interpretation of the term and the underlying circuit are somehow merged into a single mathematical object.,0
A consequential artifact of presheaf utilization involves term interpretation and underlying circuit mergence into singular mathematical constructs.,1
"As a result, it is difficult to read interesting features of the underlying circuit from the interpretation of a term or closure: what the circuit does and what the program does to produce the circuit are inextricably coupled.",0
"Resultantly, extracting interesting underlying circuit characteristics from term or closure interpretations proves challenging: circuit functionality and program actions generating said circuit remain inextricably intertwined.",1
"This coupling, in turn, prevents those models from adequately accounting for variants of the Proto-Quipper family that are specifically designed to control the shape of the produced circuits, and more specifically to derive upper bounds on the size of the latter.",0
"This coupling subsequently prevents such models from adequately addressing Proto-Quipper family variants specifically engineered for produced circuit shape control, particularly regarding derived upper dimensional bounds.",1
"The correctness of these systems has been proved by purely operational means, and a denotational semantics for them is still missing.",0
"These systems' correctness has been established through purely operational methodologies, while denotational semantic frameworks remain absent.",1
This ultimately makes such systems somewhat rigid and complicates their definition.,0
This ultimately renders such systems somewhat inflexible while complicating their definitional formulation.,1
The aim of this paper is precisely to give a denotational semantics to languages in the Proto-Quipper family in which the interpretation of terms is kept separate from that of the produced circuit.,0
This paper's objective specifically encompasses providing denotational semantics to Proto-Quipper family languages wherein term interpretation remains segregated from produced circuit interpretation.,1
This is achieved by seeing circuit building as an indexed monad.,0
This is accomplished by conceptualizing circuit construction as an indexed monadic structure.,1
"Remarkably, this new point of view allows us to give semantics to languages such as Colledan and Dal Lago's Proto-Quipper-R, and even allows us to justify some of their peculiarities.",0
"Remarkably, this novel perspective enables semantic provision for languages such as Colledan and Dal Lago's Proto-Quipper-R, additionally permitting justification of certain peculiarities.",1
